,Mes/Ano,Prev Mensal,Prev Acum
0,01/2019,5.343,5.343
1,02/2019,4.364,9.707
2,03/2019,3.392,13.099
3,04/2019,2.492,15.591
4,05/2019,2.136,17.727
5,06/2019,2.438,20.165
6,07/2019,5.228,25.393
7,08/2019,5.112,30.505000000000003
8,09/2019,4.2,34.705000000000005
9,10/2019,5.234,39.93900000000001
10,11/2019,3.505,43.44400000000001
11,12/2019,5.919,49.36300000000001
12,01/2020,6.089,55.452000000000005
13,02/2020,5.413,60.86500000000001
14,03/2020,5.954,66.819
15,04/2020,5.954,72.773
16,05/2020,5.683,78.45599999999999
17,06/2020,5.954,84.40999999999998
18,07/2020,5.482,89.89199999999998
19,08/2020,5.104,94.99599999999998
20,09/2020,2.517,97.51299999999998
21,10/2020,2.488,100.00099999999998
